gl_txn_id,bank_txn_id,match_type,amount,gl_date,bank_date,variance
T10058,T10058,exact,9819.32,2026-07-14,2026-07-14,
T10295,T10295,exact,-4437.89,2026-07-14,2026-07-14,
T10122,T10122,exact,-3879.73,2026-07-14,2026-07-14,
T10402,T10402,exact,-8701.96,2026-07-14,2026-07-14,
T10285,T10285,exact,10209.38,2026-07-14,2026-07-14,
T10190,T10190,exact,780.14,2026-07-14,2026-07-14,
T10048,T10048,exact,-5614.63,2026-07-14,2026-07-14,
T10271,T10271,exact,5520.56,2026-07-14,2026-07-14,
T10129,T10129,exact,12143.25,2026-07-14,2026-07-14,
T10027,T10027,exact,1490.69,2026-07-14,2026-07-14,
T10188,T10188,exact,-7480.77,2026-07-15,2026-07-15,
T10092,T10092,exact,-7182.06,2026-07-15,2026-07-15,
T10331,T10331,exact,-582.02,2026-07-15,2026-07-15,
T10341,T10341,exact,-6236.86,2026-07-15,2026-07-15,
T10320,T10320,exact,2782.22,2026-07-15,2026-07-15,
T10028,T10028,exact,-1221.31,2026-07-15,2026-07-15,
T10394,T10394,exact,2593.9,2026-07-15,2026-07-15,
T10334,T10334,exact,-3112.45,2026-07-15,2026-07-15,
T10040,T10040,exact,5860.05,2026-07-15,2026-07-15,
T10414,T10414,exact,-1205.67,2026-07-15,2026-07-15,
T10152,T10152,exact,17108.71,2026-07-15,2026-07-15,
T10085,T10085,exact,-1270.79,2026-07-16,2026-07-16,
T10014,T10014,exact,-1976.83,2026-07-16,2026-07-16,
T10059,T10059,exact,-5329.8,2026-07-16,2026-07-16,
T10074,T10074,exact,-9330.6,2026-07-16,2026-07-16,
T10032,T10032,exact,-8225.85,2026-07-16,2026-07-16,
T10247,T10247,exact,-8344.68,2026-07-16,2026-07-16,
T10061,T10061,exact,16640.9,2026-07-16,2026-07-16,
T10244,T10244,exact,-7670.54,2026-07-16,2026-07-16,
T10029,T10029,exact,-4525.48,2026-07-16,2026-07-16,
T10144,T10144,exact,10679.68,2026-07-16,2026-07-16,
T10097,T10097,exact,-4182.35,2026-07-16,2026-07-16,
T10275,T10275,exact,-4504.75,2026-07-16,2026-07-16,
T10095,T10095,exact,-7002.22,2026-07-17,2026-07-17,
T10219,T10219,exact,-578.74,2026-07-17,2026-07-17,
T10220,T10220,exact,-4096.26,2026-07-17,2026-07-17,
T10298,T10298,exact,12560.59,2026-07-17,2026-07-17,
T10148,T10148,exact,4675.83,2026-07-17,2026-07-17,
T10207,T10207,exact,7921.67,2026-07-17,2026-07-17,
T10124,T10124,exact,-4497.66,2026-07-17,2026-07-17,
T10277,T10277,exact,-1067.83,2026-07-17,2026-07-17,
T10187,T10187,exact,14646.77,2026-07-17,2026-07-17,
T10367,T10367,exact,-2374.91,2026-07-17,2026-07-17,
T10297,T10297,exact,-3031.91,2026-07-17,2026-07-17,
T10399,T10399,exact,16428.84,2026-07-17,2026-07-17,
T10080,T10080,exact,8285.15,2026-07-17,2026-07-17,
T10263,T10263,exact,-2370.52,2026-07-18,2026-07-18,
T10157,T10157,exact,-373.34,2026-07-18,2026-07-18,
T10409,T10409,exact,-4810.88,2026-07-18,2026-07-18,
T10282,T10282,exact,-4091.65,2026-07-18,2026-07-18,
T10031,T10031,exact,10767.41,2026-07-18,2026-07-18,
T10230,T10230,exact,-8171.97,2026-07-18,2026-07-18,
T10004,T10004,exact,-2999.06,2026-07-18,2026-07-18,
T10160,T10160,exact,6098.9,2026-07-18,2026-07-18,
T10396,T10396,exact,10142.17,2026-07-18,2026-07-18,
T10184,T10184,exact,420.11,2026-07-18,2026-07-18,
T10128,T10128,exact,-7172.78,2026-07-18,2026-07-18,
T10165,T10165,exact,-2357.86,2026-07-18,2026-07-18,
T10116,T10116,exact,14132.04,2026-07-18,2026-07-18,
T10173,T10173,exact,2930.37,2026-07-18,2026-07-18,
T10213-DUP,T10213,exact,-5489.51,2026-07-19,2026-07-19,
T10172,T10172,exact,-6030.21,2026-07-19,2026-07-19,
T10103,T10103,exact,-1259.0,2026-07-19,2026-07-19,
T10119,T10119,exact,16978.61,2026-07-19,2026-07-19,
T10121,T10121,exact,-8934.38,2026-07-19,2026-07-19,
T10030,T10030,exact,14512.29,2026-07-19,2026-07-19,
T10283,T10283,exact,-3729.83,2026-07-19,2026-07-19,
T10045,T10045,exact,-6161.7,2026-07-19,2026-07-19,
T10329,T10329,exact,-8442.97,2026-07-19,2026-07-19,
T10387,T10387,exact,-604.38,2026-07-19,2026-07-19,
T10108,T10108,exact,16540.0,2026-07-19,2026-07-19,
T10154,T10154,exact,-5728.34,2026-07-19,2026-07-19,
T10098,T10098,exact,10904.13,2026-07-20,2026-07-20,
T10314,T10314,exact,-6212.7,2026-07-20,2026-07-20,
T10057,T10057,exact,6795.21,2026-07-20,2026-07-20,
T10234,T10234,exact,10906.44,2026-07-20,2026-07-20,
T10102,T10102,exact,-9241.35,2026-07-20,2026-07-20,
T10309,T10309,exact,-3151.0,2026-07-20,2026-07-20,
T10345,T10345,exact,1101.21,2026-07-20,2026-07-20,
T10171,T10171,exact,2402.02,2026-07-20,2026-07-20,
T10343,T10343,exact,8402.18,2026-07-20,2026-07-20,
T10001,T10001,exact,1656.51,2026-07-20,2026-07-20,
T10243,T10243,exact,-8452.22,2026-07-20,2026-07-20,
T10123,T10123,exact,13655.66,2026-07-20,2026-07-20,
T10106,T10106,exact,-3176.47,2026-07-21,2026-07-21,
T10078,T10078,exact,-160.34,2026-07-21,2026-07-21,
T10335,T10335,exact,11357.32,2026-07-21,2026-07-21,
T10403,T10403,exact,-124.94,2026-07-21,2026-07-21,
T10203,T10203,exact,-474.07,2026-07-21,2026-07-21,
T10141,T10141,exact,10466.56,2026-07-21,2026-07-21,
T10147,T10147,exact,-1954.34,2026-07-21,2026-07-21,
T10125,T10125,exact,7042.22,2026-07-21,2026-07-21,
T10100,T10100,exact,-6778.95,2026-07-22,2026-07-22,
T10354,T10354,exact,8812.71,2026-07-22,2026-07-22,
T10378,T10378,exact,-8810.17,2026-07-22,2026-07-22,
T10350,T10350,exact,-3900.58,2026-07-22,2026-07-22,
T10391,T10391,exact,-8002.5,2026-07-22,2026-07-22,
T10210,T10210,exact,-1475.28,2026-07-22,2026-07-22,
T10304,T10304,exact,-508.0,2026-07-22,2026-07-22,
T10069,T10069,exact,-1660.3,2026-07-22,2026-07-22,
T10362,T10362,exact,-9170.33,2026-07-22,2026-07-22,
T10088,T10088,exact,-2697.11,2026-07-22,2026-07-22,
T10215,T10215,exact,-172.64,2026-07-22,2026-07-22,
T10002,T10002,exact,5045.48,2026-07-22,2026-07-22,
T10036,T10036,exact,1456.96,2026-07-22,2026-07-22,
T10316,T10316,exact,5313.67,2026-07-23,2026-07-23,
T10364,T10364,exact,-1249.61,2026-07-23,2026-07-23,
T10348,T10348,exact,10630.21,2026-07-23,2026-07-23,
T10180,T10180,exact,-2502.5,2026-07-23,2026-07-23,
T10357,T10357,exact,-2852.45,2026-07-23,2026-07-23,
T10072,T10072,exact,7962.7,2026-07-23,2026-07-23,
T10249,T10249,exact,-1936.02,2026-07-23,2026-07-23,
T10204,T10204,exact,-9409.43,2026-07-23,2026-07-23,
T10096,T10096,exact,4668.14,2026-07-23,2026-07-23,
T10194,T10194,exact,5707.49,2026-07-23,2026-07-23,
T10091,T10091,exact,7371.19,2026-07-23,2026-07-23,
T10290,T10290,exact,-3965.03,2026-07-23,2026-07-23,
T10328,T10328,exact,-8303.38,2026-07-24,2026-07-24,
T10232,T10232,exact,5278.44,2026-07-24,2026-07-24,
T10340,T10340,exact,-4883.43,2026-07-24,2026-07-24,
T10231,T10231,exact,14485.44,2026-07-24,2026-07-24,
T10408,T10408,exact,-4768.46,2026-07-24,2026-07-24,
T10162,T10162,exact,-8808.67,2026-07-24,2026-07-24,
T10280,T10280,exact,2608.7,2026-07-24,2026-07-24,
T10353,T10353,exact,14690.0,2026-07-24,2026-07-24,
T10281,T10281,exact,11387.0,2026-07-24,2026-07-24,
T10300,T10300,exact,-9007.7,2026-07-24,2026-07-24,
T10221,T10221,exact,1162.21,2026-07-24,2026-07-24,
T10186,T10186,exact,-1261.11,2026-07-24,2026-07-24,
T10191,T10191,exact,-9289.02,2026-07-24,2026-07-24,
T10035,T10035,exact,-7230.0,2026-07-25,2026-07-25,
T10222,T10222,exact,-2430.1,2026-07-25,2026-07-25,
T10005,T10005,exact,8266.58,2026-07-25,2026-07-25,
T10017,T10017,exact,-4278.76,2026-07-25,2026-07-25,
T10245,T10245,exact,-9217.68,2026-07-25,2026-07-25,
T10303,T10303,exact,-4741.91,2026-07-25,2026-07-25,
T10413,T10413,exact,16170.28,2026-07-25,2026-07-25,
T10302,T10302,exact,10948.11,2026-07-25,2026-07-25,
T10363,T10363,exact,-2906.08,2026-07-25,2026-07-25,
T10113,T10113,exact,-9473.77,2026-07-26,2026-07-26,
T10020,T10020,exact,4068.17,2026-07-26,2026-07-26,
T10015,T10015,exact,5124.5,2026-07-26,2026-07-26,
T10324,T10324,exact,-598.14,2026-07-26,2026-07-26,
T10077,T10077,exact,-7432.01,2026-07-26,2026-07-26,
T10401,T10401,exact,-1237.29,2026-07-26,2026-07-26,
T10239,T10239,exact,-2484.26,2026-07-26,2026-07-26,
T10056,T10056,exact,-3852.55,2026-07-26,2026-07-26,
T10054,T10054,exact,2561.32,2026-07-26,2026-07-26,
T10034,T10034,exact,9462.7,2026-07-26,2026-07-26,
T10284,T10284,exact,-4872.99,2026-07-26,2026-07-26,
T10368,T10368,exact,-3898.12,2026-07-26,2026-07-26,
T10134,T10134,exact,6829.14,2026-07-26,2026-07-26,
T10233,T10233,exact,-3199.75,2026-07-26,2026-07-26,
T10417,T10417,exact,7468.89,2026-07-27,2026-07-27,
T10236,T10236,exact,-7676.63,2026-07-27,2026-07-27,
T10044,T10044,exact,17171.32,2026-07-27,2026-07-27,
T10358,T10358,exact,-8056.37,2026-07-27,2026-07-27,
T10151,T10151,exact,-9411.4,2026-07-27,2026-07-27,
T10242,T10242,exact,-9142.92,2026-07-27,2026-07-27,
T10150,T10150,exact,5265.72,2026-07-27,2026-07-27,
T10216,T10216,exact,-6647.66,2026-07-27,2026-07-27,
T10042,T10042,exact,2887.72,2026-07-27,2026-07-27,
T10087,T10087,exact,-5591.43,2026-07-27,2026-07-27,
T10262,T10262,exact,-4423.9,2026-07-27,2026-07-27,
T10398,T10398,exact,-2727.02,2026-07-27,2026-07-27,
T10238,T10238,exact,-3353.61,2026-07-27,2026-07-27,
T10416,T10416,exact,-8924.86,2026-07-28,2026-07-28,
T10365,T10365,exact,8715.33,2026-07-28,2026-07-28,
T10366,T10366,exact,-1221.31,2026-07-28,2026-07-28,
T10209,T10209,exact,2380.67,2026-07-28,2026-07-28,
T10145,T10145,exact,12762.49,2026-07-28,2026-07-28,
T10183,T10183,exact,-4948.02,2026-07-28,2026-07-28,
T10003,T10003,exact,-5792.61,2026-07-28,2026-07-28,
T10356,T10356,exact,2423.95,2026-07-28,2026-07-28,
T10011,T10011,exact,7066.68,2026-07-28,2026-07-28,
T10099,T10099,exact,-1420.23,2026-07-28,2026-07-28,
T10287,T10287,exact,4737.11,2026-07-28,2026-07-28,
T10083,T10083,exact,-2731.7,2026-07-28,2026-07-28,
T10279,T10279,exact,-5357.47,2026-07-28,2026-07-28,
T10278,T10278,exact,-7711.64,2026-07-28,2026-07-28,
T10169,T10169,exact,-304.24,2026-07-28,2026-07-28,
T10070,T10070,exact,-4647.3,2026-07-28,2026-07-28,
T10223,T10223,exact,-5149.05,2026-07-29,2026-07-29,
T10198,T10198,exact,9120.9,2026-07-29,2026-07-29,
T10254,T10254,exact,-1382.08,2026-07-29,2026-07-29,
T10163,T10163,exact,-1978.21,2026-07-29,2026-07-29,
T10218,T10218,exact,-9264.76,2026-07-29,2026-07-29,
T10369,T10369,exact,16489.26,2026-07-29,2026-07-29,
T10155,T10155,exact,-3217.7,2026-07-29,2026-07-29,
T10291,T10291,exact,-1701.95,2026-07-29,2026-07-29,
T10310,T10310,exact,10318.97,2026-07-29,2026-07-29,
T10323,T10323,exact,-8145.7,2026-07-29,2026-07-29,
T10360,T10360,exact,-863.32,2026-07-29,2026-07-29,
T10330,T10330,exact,-7486.14,2026-07-29,2026-07-29,
T10055,T10055,exact,13246.32,2026-07-29,2026-07-29,
T10339,T10339,exact,9965.87,2026-07-30,2026-07-30,
T10138,T10138,exact,13652.55,2026-07-30,2026-07-30,
T10126,T10126,exact,-4134.33,2026-07-30,2026-07-30,
T10086,T10086,exact,-4436.98,2026-07-30,2026-07-30,
T10415,T10415,exact,1043.36,2026-07-30,2026-07-30,
T10397,T10397,exact,-9006.94,2026-07-30,2026-07-30,
T10082,T10082,exact,-1604.66,2026-07-30,2026-07-30,
T10000,T10000,exact,9968.9,2026-07-30,2026-07-30,
T10269,T10269,exact,2592.52,2026-07-30,2026-07-30,
T10201,T10201,exact,-8924.17,2026-07-30,2026-07-30,
T10299,T10299,exact,16847.32,2026-07-30,2026-07-30,
T10286,T10286,exact,-7290.6,2026-07-30,2026-07-30,
T10276,T10276,exact,10725.02,2026-07-30,2026-07-30,
T10380,T10380,exact,-833.42,2026-07-30,2026-07-30,
T10246,T10246,exact,-1957.76,2026-07-30,2026-07-30,
T10261,T10261,exact,-3815.93,2026-07-30,2026-07-30,
T10156,T10156,exact,-3142.02,2026-07-30,2026-07-30,
T10311,T10311,exact,-3560.67,2026-07-31,2026-07-31,
T10026,T10026,exact,-5453.47,2026-07-31,2026-07-31,
T10039,T10039,exact,17438.77,2026-07-31,2026-07-31,
T10052,T10052,exact,3111.95,2026-07-31,2026-07-31,
T10273,T10273,exact,-1566.82,2026-07-31,2026-07-31,
T10170,T10170,exact,4062.56,2026-07-31,2026-07-31,
T10068,T10068,exact,-8758.25,2026-07-31,2026-07-31,
T10264,T10264,exact,-6838.58,2026-07-31,2026-07-31,
T10240,T10240,exact,-5934.88,2026-07-31,2026-07-31,
T10117,T10117,exact,-9424.3,2026-07-31,2026-07-31,
T10137,T10137,exact,-6634.88,2026-07-31,2026-07-31,
T10224,T10224,exact,-3648.78,2026-07-31,2026-07-31,
T10382,T10382,exact,-8555.6,2026-07-31,2026-07-31,
T10176,T10176,exact,-858.66,2026-07-31,2026-07-31,
T10064,T10064,exact,15307.42,2026-07-31,2026-07-31,
T10182,T10182,exact,-7770.07,2026-07-31,2026-07-31,
T10192,T10192,timing_difference,4507.82,2026-07-02,2026-07-05,
T10202,T10202,timing_difference,-4807.82,2026-07-04,2026-07-09,
T10266,T10266,timing_difference,-3767.99,2026-07-05,2026-07-10,
T10250,T10250,timing_difference,-4954.17,2026-07-08,2026-07-10,
T10200,T10200,timing_difference,-3036.54,2026-07-13,2026-07-17,
T10053,T10053,timing_difference,14732.75,2026-07-15,2026-07-19,
T10019,T10019,timing_difference,-768.58,2026-07-15,2026-07-20,
T10383,T10383,timing_difference,-8898.22,2026-07-18,2026-07-21,
T10405,T10405,timing_difference,-6395.69,2026-07-19,2026-07-21,
T10089,T10089,timing_difference,-3172.3,2026-07-20,2026-07-23,
T10006,T10006,timing_difference,-8197.89,2026-07-26,2026-07-30,
T10361,T10361,timing_difference,1326.75,2026-07-29,2026-08-01,
T10043,T10043,amount_variance,10302.82,2026-07-05,2026-07-05,-16.51
T10101,T10101,amount_variance,-1214.03,2026-07-12,2026-07-12,-71.94
T10289,T10289,amount_variance,7661.57,2026-07-13,2026-07-13,52.41
T10326,T10326,amount_variance,8294.07,2026-07-19,2026-07-19,63.31
T10400,T10400,amount_variance,-3509.62,2026-07-20,2026-07-20,27.09
T10305,T10305,amount_variance,-1770.47,2026-07-21,2026-07-21,-23.93
T10024,T10024,amount_variance,13351.93,2026-07-23,2026-07-23,-14.88
T10325,T10325,amount_variance,17703.25,2026-07-27,2026-07-27,5.19
