txn_id,txn_date,description,amount
T10063,2026-07-08,Payment — Pinnacle Office Solutions,-1683.02
T10301,2026-07-08,Payment — Acme Supply Co,-9448.29
T10406,2026-07-08,Customer payment — Whitfield Manufacturing,13236.57
T10164,2026-07-08,Customer payment — Brightline Media,12795.86
T10377,2026-07-08,Payment — Summit Payroll Services,-3068.04
T10179,2026-07-08,Payment — Riverside Property Mgmt,-989.6
T10131,2026-07-08,Customer payment — Coastal Foods Inc,4322.85
T10379,2026-07-08,Payment — Meridian Logistics,-1995.46
T10094,2026-07-08,Payment — Crestwood Utilities,-8724.93
T10342,2026-07-08,Customer payment — Union Freight Co,5323.93
T10250,2026-07-08,Payment — Beacon Legal Group,-4954.17
T10251,2026-07-08,Payment — Vertex IT Services,-1230.83
T10025,2026-07-08,Customer payment — Brightline Media,5022.78
T10023,2026-07-09,Payment — Atlas Insurance Group,-2068.19
T10010,2026-07-09,Payment — Pinnacle Office Solutions,-6897.75
T10214,2026-07-09,Customer payment — Granite Construction,3899.52
T10158,2026-07-09,Payment — Meridian Logistics,-5243.54
T10376,2026-07-09,Payment — Beacon Legal Group,-2515.85
T10060,2026-07-09,Payment — Horizon Marketing,-1052.46
T10267,2026-07-09,Payment — Summit Payroll Services,-8338.46
T10081,2026-07-09,Customer payment — Maple Grove Clinic,9215.47
T10189,2026-07-10,Payment — Atlas Insurance Group,-1714.95
T10260,2026-07-10,Customer payment — Granite Construction,12012.91
T10009,2026-07-10,Payment — NorthStar Bank Fees,-3618.35
T10322,2026-07-10,Payment — NorthStar Bank Fees,-5236.52
T10228,2026-07-10,Payment — Beacon Legal Group,-9122.37
T10370,2026-07-10,Payment — Pinnacle Office Solutions,-7616.8
T10143,2026-07-10,Payment — Crestwood Utilities,-5806.34
T10386,2026-07-10,Customer payment — Granite Construction,17331.75
T10337,2026-07-10,Payment — Acme Supply Co,-1869.93
T10306,2026-07-10,Customer payment — Maple Grove Clinic,6717.74
T10395,2026-07-10,Customer payment — Granite Construction,17923.89
T10312,2026-07-10,Customer payment — Granite Construction,17298.56
T10021,2026-07-10,Payment — Vertex IT Services,-1676.29
T10313,2026-07-11,Payment — Meridian Logistics,-8268.57
T10038,2026-07-11,Payment — Beacon Legal Group,-4482.0
T10211,2026-07-11,Payment — Crestwood Utilities,-7929.89
T10109,2026-07-11,Payment — Riverside Property Mgmt,-674.31
T10022,2026-07-11,Payment — Horizon Marketing,-636.6
T10265,2026-07-11,Payment — Vertex IT Services,-8501.27
T10259,2026-07-11,Payment — Atlas Insurance Group,-1985.1
T10112-DUP,2026-07-12,Payment — Cascade Equipment Rental,-7013.95
T10410,2026-07-12,Customer payment — Cedarwood Realty,13293.65
T10073,2026-07-12,Payment — Meridian Logistics,-3385.17
T10175,2026-07-12,Payment — Crestwood Utilities,-3190.15
T10168,2026-07-12,Payment — Cascade Equipment Rental,-921.7
T10062,2026-07-12,Payment — Crestwood Utilities,-998.23
T10336,2026-07-12,Customer payment — Brightline Media,16776.25
T10255,2026-07-12,Payment — Acme Supply Co,-2533.97
T10288,2026-07-12,Payment — Summit Payroll Services,-9423.05
T10112,2026-07-12,Payment — Cascade Equipment Rental,-7013.95
T10130,2026-07-12,Customer payment — Silverline Technologies,14471.69
T10195,2026-07-12,Payment — Summit Payroll Services,-117.27
T10101,2026-07-12,Payment — Atlas Insurance Group,-1214.03
T10217,2026-07-12,Payment — Pinnacle Office Solutions,-4496.53
T10115,2026-07-12,Customer payment — Cedarwood Realty,7488.01
T10351,2026-07-13,Customer payment — Maple Grove Clinic,15972.07
T10315,2026-07-13,Payment — Vertex IT Services,-7401.4
T10226,2026-07-13,Payment — Beacon Legal Group,-6253.39
T10344,2026-07-13,Customer payment — Cedarwood Realty,15860.97
T10258,2026-07-13,Payment — Meridian Logistics,-4034.9
T10237,2026-07-13,Payment — Summit Payroll Services,-3625.98
T10200,2026-07-13,Payment — Horizon Marketing,-3036.54
T10289,2026-07-13,Customer payment — Union Freight Co,7661.57
T10177,2026-07-13,Payment — Horizon Marketing,-6438.53
T10107,2026-07-13,Payment — Beacon Legal Group,-352.41
T10133,2026-07-13,Payment — Vertex IT Services,-7236.14
T10136,2026-07-13,Payment — Vertex IT Services,-1804.96
T10114,2026-07-13,Payment — Beacon Legal Group,-1522.09
T10118,2026-07-13,Customer payment — Delta Retail Group,4898.85
T10208,2026-07-14,Payment — Crestwood Utilities,-9039.11
T10205,2026-07-14,Payment — Summit Payroll Services,-555.5
T10374,2026-07-14,Customer payment — Granite Construction,9267.2
T10058,2026-07-14,Customer payment — Granite Construction,9819.32
T10120,2026-07-14,Payment — NorthStar Bank Fees,-8986.69
T10295,2026-07-14,Payment — Atlas Insurance Group,-4437.89
T10122,2026-07-14,Payment — NorthStar Bank Fees,-3879.73
T10402,2026-07-14,Payment — Vertex IT Services,-8701.96
T10285,2026-07-14,Customer payment — Delta Retail Group,10209.38
T10190,2026-07-14,Customer payment — Coastal Foods Inc,780.14
T10048,2026-07-14,Payment — Acme Supply Co,-5614.63
T10271,2026-07-14,Customer payment — Whitfield Manufacturing,5520.56
T10129,2026-07-14,Customer payment — Maple Grove Clinic,12143.25
T10027,2026-07-14,Customer payment — Silverline Technologies,1490.69
T10188,2026-07-15,Payment — Vertex IT Services,-7480.77
T10092,2026-07-15,Payment — Cascade Equipment Rental,-7182.06
T10053,2026-07-15,Customer payment — Maple Grove Clinic,14732.75
T10331,2026-07-15,Payment — Cascade Equipment Rental,-582.02
T10341,2026-07-15,Payment — Horizon Marketing,-6236.86
T10019,2026-07-15,Payment — Vertex IT Services,-768.58
T10320,2026-07-15,Customer payment — Union Freight Co,2782.22
T10028,2026-07-15,Payment — Cascade Equipment Rental,-1221.31
T10394,2026-07-15,Customer payment — Union Freight Co,2593.9
T10334,2026-07-15,Payment — Riverside Property Mgmt,-3112.45
T10185,2026-07-15,Customer payment — Brightline Media,1343.35
T10040,2026-07-15,Customer payment — Granite Construction,5860.05
T10414,2026-07-15,Payment — Beacon Legal Group,-1205.67
T10152,2026-07-15,Customer payment — Cedarwood Realty,17108.71
T10085,2026-07-16,Payment — Pinnacle Office Solutions,-1270.79
T10014,2026-07-16,Payment — Cascade Equipment Rental,-1976.83
T10059,2026-07-16,Payment — NorthStar Bank Fees,-5329.8
T10074,2026-07-16,Payment — Horizon Marketing,-9330.6
T10032,2026-07-16,Payment — Beacon Legal Group,-8225.85
T10247,2026-07-16,Payment — Cascade Equipment Rental,-8344.68
T10061,2026-07-16,Customer payment — Cedarwood Realty,16640.9
T10051,2026-07-16,Payment — Summit Payroll Services,-4684.25
T10244,2026-07-16,Payment — Horizon Marketing,-7670.54
T10029,2026-07-16,Payment — Cascade Equipment Rental,-4525.48
T10144,2026-07-16,Customer payment — Union Freight Co,10679.68
T10097,2026-07-16,Payment — Meridian Logistics,-4182.35
T10275,2026-07-16,Payment — Meridian Logistics,-4504.75
T10095,2026-07-17,Payment — Vertex IT Services,-7002.22
T10219,2026-07-17,Payment — Summit Payroll Services,-578.74
T10220,2026-07-17,Payment — Pinnacle Office Solutions,-4096.26
T10298,2026-07-17,Customer payment — Brightline Media,12560.59
T10148,2026-07-17,Customer payment — Union Freight Co,4675.83
T10207,2026-07-17,Customer payment — Silverline Technologies,7921.67
T10124,2026-07-17,Payment — Crestwood Utilities,-4497.66
T10277,2026-07-17,Payment — Vertex IT Services,-1067.83
T10187,2026-07-17,Customer payment — Union Freight Co,14646.77
T10367,2026-07-17,Payment — Atlas Insurance Group,-2374.91
T10297,2026-07-17,Payment — Beacon Legal Group,-3031.91
T10399,2026-07-17,Customer payment — Brightline Media,16428.84
T10080,2026-07-17,Customer payment — Maple Grove Clinic,8285.15
T10263,2026-07-18,Payment — Cascade Equipment Rental,-2370.52
T10157,2026-07-18,Payment — Acme Supply Co,-373.34
T10409,2026-07-18,Payment — Acme Supply Co,-4810.88
T10282,2026-07-18,Payment — Cascade Equipment Rental,-4091.65
T10031,2026-07-18,Customer payment — Whitfield Manufacturing,10767.41
T10230,2026-07-18,Payment — NorthStar Bank Fees,-8171.97
T10004,2026-07-18,Payment — Summit Payroll Services,-2999.06
T10160,2026-07-18,Customer payment — Silverline Technologies,6098.9
T10396,2026-07-18,Customer payment — Whitfield Manufacturing,10142.17
T10184,2026-07-18,Customer payment — Delta Retail Group,420.11
T10383,2026-07-18,Payment — Cascade Equipment Rental,-8898.22
T10128,2026-07-18,Payment — Acme Supply Co,-7172.78
T10165,2026-07-18,Payment — Acme Supply Co,-2357.86
T10116,2026-07-18,Customer payment — Union Freight Co,14132.04
T10173,2026-07-18,Customer payment — Whitfield Manufacturing,2930.37
T10213-DUP,2026-07-19,Payment — NorthStar Bank Fees,-5489.51
T10405,2026-07-19,Payment — Riverside Property Mgmt,-6395.69
T10213,2026-07-19,Payment — NorthStar Bank Fees,-5489.51
T10172,2026-07-19,Payment — Pinnacle Office Solutions,-6030.21
T10103,2026-07-19,Payment — NorthStar Bank Fees,-1259.0
T10119,2026-07-19,Customer payment — Silverline Technologies,16978.61
T10121,2026-07-19,Payment — Crestwood Utilities,-8934.38
T10030,2026-07-19,Customer payment — Granite Construction,14512.29
T10283,2026-07-19,Payment — Cascade Equipment Rental,-3729.83
T10045,2026-07-19,Payment — Summit Payroll Services,-6161.7
T10326,2026-07-19,Customer payment — Whitfield Manufacturing,8294.07
T10329,2026-07-19,Payment — Summit Payroll Services,-8442.97
T10387,2026-07-19,Payment — Horizon Marketing,-604.38
T10333,2026-07-19,Payment — Pinnacle Office Solutions,-2554.57
T10108,2026-07-19,Customer payment — Granite Construction,16540.0
T10154,2026-07-19,Payment — Vertex IT Services,-5728.34
T10098,2026-07-20,Customer payment — Cedarwood Realty,10904.13
T10314,2026-07-20,Payment — Vertex IT Services,-6212.7
T10057,2026-07-20,Customer payment — Coastal Foods Inc,6795.21
T10400,2026-07-20,Payment — Horizon Marketing,-3509.62
T10234,2026-07-20,Customer payment — Delta Retail Group,10906.44
T10102,2026-07-20,Payment — Pinnacle Office Solutions,-9241.35
T10309,2026-07-20,Payment — Beacon Legal Group,-3151.0
T10037,2026-07-20,Payment — Vertex IT Services,-7727.6
T10345,2026-07-20,Customer payment — Maple Grove Clinic,1101.21
T10171,2026-07-20,Customer payment — Whitfield Manufacturing,2402.02
T10343,2026-07-20,Customer payment — Whitfield Manufacturing,8402.18
T10076,2026-07-20,Customer payment — Coastal Foods Inc,14576.53
T10001,2026-07-20,Customer payment — Cedarwood Realty,1656.51
T10089,2026-07-20,Payment — Acme Supply Co,-3172.3
T10243,2026-07-20,Payment — Beacon Legal Group,-8452.22
T10123,2026-07-20,Customer payment — Granite Construction,13655.66
T10106,2026-07-21,Payment — Acme Supply Co,-3176.47
T10078,2026-07-21,Payment — Atlas Insurance Group,-160.34
T10335,2026-07-21,Customer payment — Maple Grove Clinic,11357.32
T10403,2026-07-21,Payment — Pinnacle Office Solutions,-124.94
T10203,2026-07-21,Payment — Meridian Logistics,-474.07
T10141,2026-07-21,Customer payment — Granite Construction,10466.56
T10305,2026-07-21,Payment — Summit Payroll Services,-1770.47
T10147,2026-07-21,Payment — Beacon Legal Group,-1954.34
T10125,2026-07-21,Customer payment — Silverline Technologies,7042.22
T10100,2026-07-22,Payment — Horizon Marketing,-6778.95
T10354,2026-07-22,Customer payment — Whitfield Manufacturing,8812.71
T10378,2026-07-22,Payment — Acme Supply Co,-8810.17
T10350,2026-07-22,Payment — Vertex IT Services,-3900.58
T10391,2026-07-22,Payment — Cascade Equipment Rental,-8002.5
T10210,2026-07-22,Payment — Vertex IT Services,-1475.28
T10304,2026-07-22,Payment — Meridian Logistics,-508.0
T10069,2026-07-22,Payment — Acme Supply Co,-1660.3
T10362,2026-07-22,Payment — Horizon Marketing,-9170.33
T10088,2026-07-22,Payment — Crestwood Utilities,-2697.11
T10215,2026-07-22,Payment — Horizon Marketing,-172.64
T10002,2026-07-22,Customer payment — Union Freight Co,5045.48
T10036,2026-07-22,Customer payment — Granite Construction,1456.96
T10316,2026-07-23,Customer payment — Coastal Foods Inc,5313.67
T10307,2026-07-23,Payment — Vertex IT Services,-5736.93
T10364,2026-07-23,Payment — Vertex IT Services,-1249.61
T10348,2026-07-23,Customer payment — Whitfield Manufacturing,10630.21
T10180,2026-07-23,Payment — Pinnacle Office Solutions,-2502.5
T10024,2026-07-23,Customer payment — Brightline Media,13351.93
T10357,2026-07-23,Payment — Horizon Marketing,-2852.45
T10072,2026-07-23,Customer payment — Union Freight Co,7962.7
T10249,2026-07-23,Payment — Summit Payroll Services,-1936.02
T10204,2026-07-23,Payment — NorthStar Bank Fees,-9409.43
T10096,2026-07-23,Customer payment — Silverline Technologies,4668.14
T10194,2026-07-23,Customer payment — Granite Construction,5707.49
T10091,2026-07-23,Customer payment — Coastal Foods Inc,7371.19
T10290,2026-07-23,Payment — Cascade Equipment Rental,-3965.03
T10328,2026-07-24,Payment — Vertex IT Services,-8303.38
T10232,2026-07-24,Customer payment — Union Freight Co,5278.44
T10340,2026-07-24,Payment — Cascade Equipment Rental,-4883.43
T10231,2026-07-24,Customer payment — Coastal Foods Inc,14485.44
T10408,2026-07-24,Payment — Crestwood Utilities,-4768.46
T10162,2026-07-24,Payment — Beacon Legal Group,-8808.67
T10280,2026-07-24,Customer payment — Delta Retail Group,2608.7
T10353,2026-07-24,Customer payment — Silverline Technologies,14690.0
T10281,2026-07-24,Customer payment — Silverline Technologies,11387.0
T10300,2026-07-24,Payment — Meridian Logistics,-9007.7
T10221,2026-07-24,Customer payment — Maple Grove Clinic,1162.21
T10186,2026-07-24,Payment — Crestwood Utilities,-1261.11
T10191,2026-07-24,Payment — Cascade Equipment Rental,-9289.02
T10035,2026-07-25,Payment — Crestwood Utilities,-7230.0
T10222,2026-07-25,Payment — NorthStar Bank Fees,-2430.1
T10005,2026-07-25,Customer payment — Maple Grove Clinic,8266.58
T10017,2026-07-25,Payment — Cascade Equipment Rental,-4278.76
T10245,2026-07-25,Payment — Pinnacle Office Solutions,-9217.68
T10303,2026-07-25,Payment — Acme Supply Co,-4741.91
T10413,2026-07-25,Customer payment — Coastal Foods Inc,16170.28
T10302,2026-07-25,Customer payment — Granite Construction,10948.11
T10363,2026-07-25,Payment — Cascade Equipment Rental,-2906.08
T10196,2026-07-25,Payment — Horizon Marketing,-4228.08
T10113,2026-07-26,Payment — NorthStar Bank Fees,-9473.77
T10020,2026-07-26,Customer payment — Maple Grove Clinic,4068.17
T10015,2026-07-26,Customer payment — Union Freight Co,5124.5
T10006,2026-07-26,Payment — Beacon Legal Group,-8197.89
T10324,2026-07-26,Payment — Beacon Legal Group,-598.14
T10077,2026-07-26,Payment — Vertex IT Services,-7432.01
T10401,2026-07-26,Payment — Vertex IT Services,-1237.29
T10239,2026-07-26,Payment — Acme Supply Co,-2484.26
T10056,2026-07-26,Payment — Crestwood Utilities,-3852.55
T10054,2026-07-26,Customer payment — Cedarwood Realty,2561.32
T10355,2026-07-26,Payment — Beacon Legal Group,-2712.44
T10034,2026-07-26,Customer payment — Coastal Foods Inc,9462.7
T10284,2026-07-26,Payment — NorthStar Bank Fees,-4872.99
T10368,2026-07-26,Payment — Acme Supply Co,-3898.12
T10134,2026-07-26,Customer payment — Silverline Technologies,6829.14
T10233,2026-07-26,Payment — NorthStar Bank Fees,-3199.75
T10417,2026-07-27,Customer payment — Delta Retail Group,7468.89
T10236,2026-07-27,Payment — NorthStar Bank Fees,-7676.63
T10044,2026-07-27,Customer payment — Maple Grove Clinic,17171.32
T10325,2026-07-27,Customer payment — Maple Grove Clinic,17703.25
T10358,2026-07-27,Payment — Meridian Logistics,-8056.37
T10151,2026-07-27,Payment — Riverside Property Mgmt,-9411.4
T10242,2026-07-27,Payment — Atlas Insurance Group,-9142.92
T10150,2026-07-27,Customer payment — Silverline Technologies,5265.72
T10216,2026-07-27,Payment — Beacon Legal Group,-6647.66
T10042,2026-07-27,Customer payment — Delta Retail Group,2887.72
T10087,2026-07-27,Payment — Crestwood Utilities,-5591.43
T10262,2026-07-27,Payment — NorthStar Bank Fees,-4423.9
T10398,2026-07-27,Payment — Crestwood Utilities,-2727.02
T10238,2026-07-27,Payment — Horizon Marketing,-3353.61
T10416,2026-07-28,Payment — Horizon Marketing,-8924.86
T10365,2026-07-28,Customer payment — Cedarwood Realty,8715.33
T10366,2026-07-28,Payment — Atlas Insurance Group,-1221.31
T10209,2026-07-28,Customer payment — Brightline Media,2380.67
T10145,2026-07-28,Customer payment — Delta Retail Group,12762.49
T10183,2026-07-28,Payment — Riverside Property Mgmt,-4948.02
T10003,2026-07-28,Payment — Horizon Marketing,-5792.61
T10356,2026-07-28,Customer payment — Coastal Foods Inc,2423.95
T10011,2026-07-28,Customer payment — Union Freight Co,7066.68
T10099,2026-07-28,Payment — Beacon Legal Group,-1420.23
T10287,2026-07-28,Customer payment — Union Freight Co,4737.11
T10083,2026-07-28,Payment — Meridian Logistics,-2731.7
T10279,2026-07-28,Payment — Horizon Marketing,-5357.47
T10278,2026-07-28,Payment — Summit Payroll Services,-7711.64
T10169,2026-07-28,Payment — Vertex IT Services,-304.24
T10070,2026-07-28,Payment — Beacon Legal Group,-4647.3
T10223,2026-07-29,Payment — Acme Supply Co,-5149.05
T10198,2026-07-29,Customer payment — Maple Grove Clinic,9120.9
T10227,2026-07-29,Payment — Pinnacle Office Solutions,-8616.93
T10254,2026-07-29,Payment — Beacon Legal Group,-1382.08
T10163,2026-07-29,Payment — Atlas Insurance Group,-1978.21
T10218,2026-07-29,Payment — Crestwood Utilities,-9264.76
T10369,2026-07-29,Customer payment — Maple Grove Clinic,16489.26
T10155,2026-07-29,Payment — NorthStar Bank Fees,-3217.7
T10291,2026-07-29,Payment — Horizon Marketing,-1701.95
T10310,2026-07-29,Customer payment — Granite Construction,10318.97
T10323,2026-07-29,Payment — NorthStar Bank Fees,-8145.7
T10361,2026-07-29,Customer payment — Cedarwood Realty,1326.75
T10360,2026-07-29,Payment — Vertex IT Services,-863.32
T10330,2026-07-29,Payment — Meridian Logistics,-7486.14
T10055,2026-07-29,Customer payment — Silverline Technologies,13246.32
T10012,2026-07-29,Payment — Vertex IT Services,-290.24
T10153,2026-07-30,Payment — Acme Supply Co,-4970.4
T10339,2026-07-30,Customer payment — Cedarwood Realty,9965.87
T10138,2026-07-30,Customer payment — Coastal Foods Inc,13652.55
T10126,2026-07-30,Payment — NorthStar Bank Fees,-4134.33
T10086,2026-07-30,Payment — Pinnacle Office Solutions,-4436.98
T10415,2026-07-30,Customer payment — Silverline Technologies,1043.36
T10397,2026-07-30,Payment — Summit Payroll Services,-9006.94
T10082,2026-07-30,Payment — Atlas Insurance Group,-1604.66
T10000,2026-07-30,Customer payment — Delta Retail Group,9968.9
T10269,2026-07-30,Customer payment — Whitfield Manufacturing,2592.52
T10201,2026-07-30,Payment — Vertex IT Services,-8924.17
T10299,2026-07-30,Customer payment — Granite Construction,16847.32
T10286,2026-07-30,Payment — Summit Payroll Services,-7290.6
T10276,2026-07-30,Customer payment — Whitfield Manufacturing,10725.02
T10380,2026-07-30,Payment — Meridian Logistics,-833.42
T10246,2026-07-30,Payment — Riverside Property Mgmt,-1957.76
T10261,2026-07-30,Payment — Vertex IT Services,-3815.93
T10156,2026-07-30,Payment — Beacon Legal Group,-3142.02
T10311,2026-07-31,Payment — Acme Supply Co,-3560.67
T10026,2026-07-31,Payment — Summit Payroll Services,-5453.47
T10033,2026-07-31,Payment — Cascade Equipment Rental,-94.13
T10039,2026-07-31,Customer payment — Silverline Technologies,17438.77
T10052,2026-07-31,Customer payment — Silverline Technologies,3111.95
T10273,2026-07-31,Payment — Acme Supply Co,-1566.82
T10170,2026-07-31,Customer payment — Brightline Media,4062.56
T10068,2026-07-31,Payment — Beacon Legal Group,-8758.25
T10264,2026-07-31,Payment — Crestwood Utilities,-6838.58
T10240,2026-07-31,Payment — Acme Supply Co,-5934.88
T10117,2026-07-31,Payment — Cascade Equipment Rental,-9424.3
T10137,2026-07-31,Payment — Meridian Logistics,-6634.88
T10224,2026-07-31,Payment — Cascade Equipment Rental,-3648.78
T10382,2026-07-31,Payment — Atlas Insurance Group,-8555.6
T10176,2026-07-31,Payment — Riverside Property Mgmt,-858.66
T10064,2026-07-31,Customer payment — Delta Retail Group,15307.42
T10182,2026-07-31,Payment — Beacon Legal Group,-7770.07
